Date,Open,High,Low,Settle,Volume,1,2,3,4,5
22-07-2012,1.33721,1.34847,1.3356,1.34494,5388,0,0,0,0,0
23-07-2012,1.34635,1.3478,1.34552,1.34655,75173,0,0,0,0,0
24-07-2012,1.34656,1.34667,1.3365,1.34061,76803,0,0,0,0,0
25-07-2012,1.34062,1.34783,1.33879,1.34765,86457,0,0,0,0,0
26-07-2012,1.34762,1.34842,1.33135,1.33227,75410,0,0,0,0,0
27-07-2012,1.33269,1.33548,1.32807,1.33253,66240,0,0,0,0,0
29-07-2012,1.33252,1.33313,1.31857,1.31993,3085,0,0,0,0,0
30-07-2012,1.31912,1.32039,1.31815,1.31837,73249,0,0,0,0,0
31-07-2012,1.31836,1.32396,1.3159,1.32219,79142,0,0,0,0,0
01-08-2012,1.3222,1.32245,1.31021,1.31186,71375,0,0,0,0,0
02-08-2012,1.31185,1.31626,1.3095,1.31393,76666,0,0,0,0,0
03-08-2012,1.31394,1.32897,1.31341,1.32697,68843,0,0,0,0,0
05-08-2012,1.32698,1.32709,1.30955,1.31205,2099,0,0,0,0,0
06-08-2012,1.31109,1.31234,1.31109,1.31208,66026,0,0,0,0,0
07-08-2012,1.31207,1.31713,1.30776,1.31678,73481,0,0,0,0,0
08-08-2012,1.31677,1.31898,1.30508,1.30777,68395,0,0,0,0,0
09-08-2012,1.3078,1.30888,1.30096,1.30192,67888,0,0,0,0,0
10-08-2012,1.30193,1.31181,1.30027,1.30755,57198,0,0,0,0,0
12-08-2012,1.30754,1.31854,1.30478,1.31733,2677,0,0,0,0,0
13-08-2012,1.31786,1.31857,1.31735,1.3175,54886,0,0,0,0,0
14-08-2012,1.31751,1.32638,1.31405,1.32279,59184,0,0,0,0,0
15-08-2012,1.3228,1.32507,1.31709,1.32371,63738,0,0,0,0,0
16-08-2012,1.32372,1.32834,1.31775,1.3216,71999,0,0,0,0,0
17-08-2012,1.32161,1.32531,1.31337,1.32032,65374,0,0,0,0,0
19-08-2012,1.32033,1.3292,1.31891,1.32683,3325,0,0,0,0,0
20-08-2012,1.327,1.32833,1.32644,1.32825,66760,0,0,0,0,0
21-08-2012,1.32824,1.33662,1.31908,1.33558,59225,0,0,0,0,0
22-08-2012,1.33559,1.33839,1.33115,1.33277,68437,0,0,0,0,0
23-08-2012,1.33276,1.33721,1.32762,1.33243,68471,0,0,0,0,0
24-08-2012,1.33242,1.3344,1.32506,1.33128,63740,0,0,0,0,0
26-08-2012,1.33127,1.33751,1.33083,1.33411,4416,0,0,0,0,0
27-08-2012,1.33599,1.33749,1.33547,1.33555,64558,0,0,0,0,0
28-08-2012,1.33556,1.33789,1.3277,1.33291,72523,0,0,0,0,0
29-08-2012,1.33292,1.33661,1.32121,1.32211,75974,0,0,0,0,0
30-08-2012,1.32212,1.32318,1.31058,1.31424,62578,0,0,0,0,0
31-08-2012,1.31425,1.31629,1.30339,1.30614,28177,0,0,0,0,0
02-09-2012,1.30613,1.31109,1.30509,1.30942,3639,0,0,0,0,0
03-09-2012,1.31014,1.31033,1.30652,1.30844,37569,0,0,0,0,0
04-09-2012,1.30845,1.31324,1.30322,1.31078,75656,0,0,0,0,0
05-09-2012,1.31079,1.31429,1.30529,1.30699,71953,0,0,0,0,0
