date,time,open,high,low,close,volume
2019-01-18,08:30:00,61.372,61.525,61.358,61.373,1025
2019-01-18,08:45:00,61.378,61.537,61.378,61.463,963
2019-01-18,09:00:00,61.467,61.513,61.266,61.378,1059
2019-01-18,09:15:00,61.383,61.5,61.328,61.478,801
2019-01-18,09:30:00,61.482,61.638,61.482,61.533,996
2019-01-18,09:45:00,61.527,61.718,61.518,61.718,737
2019-01-18,10:00:00,61.723,61.837,61.658,61.758,877
2019-01-18,10:15:00,61.755,61.778,61.623,61.738,822
2019-01-18,10:30:00,61.742,61.842,61.618,61.793,760
2019-01-18,10:45:00,61.79,61.972,61.778,61.818,1377
2019-01-18,11:00:00,61.813,61.823,61.668,61.698,630
2019-01-18,11:15:00,61.693,61.788,61.666,61.713,675
2019-01-18,11:30:00,61.716,61.853,61.703,61.778,590
2019-01-18,11:45:00,61.773,61.938,61.688,61.858,900
2019-01-18,12:00:00,61.863,61.898,61.669,61.669,536
2019-01-18,12:15:00,61.666,61.666,61.419,61.519,1112
2019-01-18,12:30:00,61.523,61.649,61.459,61.629,693
2019-01-18,12:45:00,61.624,61.649,61.539,61.644,686
2019-01-18,13:00:00,61.639,61.926,61.614,61.874,1633
2019-01-18,13:15:00,61.871,61.894,61.592,61.659,1579
2019-01-18,13:30:00,61.662,61.774,61.599,61.689,1158
2019-01-18,13:45:00,61.692,61.889,61.622,61.779,1556
2019-01-18,14:00:00,61.784,61.804,61.49,61.769,2875
2019-01-18,14:15:00,61.774,61.799,61.61,61.754,1854
2019-01-18,14:30:00,61.757,61.764,61.495,61.56,3164
2019-01-18,14:45:00,61.555,61.632,61.47,61.62,1657
2019-01-18,15:00:00,61.625,62.259,61.615,62.259,3567
2019-01-18,15:15:00,62.254,62.708,62.169,62.353,4842
2019-01-18,15:30:00,62.349,62.829,62.309,62.758,4104
2019-01-18,15:45:00,62.762,62.865,62.568,62.678,3193
2019-01-18,16:00:00,62.682,62.838,62.574,62.578,2575
2019-01-18,16:15:00,62.574,62.636,62.419,62.429,4004
2019-01-18,16:30:00,62.433,62.658,62.419,62.598,2608
2019-01-18,16:45:00,62.594,62.598,62.454,62.509,2311
2019-01-18,17:00:00,62.514,62.589,62.379,62.419,1217
2019-01-18,17:15:00,62.424,62.459,62.359,62.409,1122
2019-01-18,17:30:00,62.418,62.474,62.275,62.359,1750
2019-01-18,17:45:00,62.354,62.414,62.18,62.394,1476
2019-01-18,18:00:00,62.397,62.539,62.36,62.489,1682
2019-01-18,18:15:00,62.484,62.594,62.39,62.539,1132
2019-01-18,18:30:00,62.542,62.696,62.534,62.569,1370
2019-01-18,18:45:00,62.565,62.649,62.49,62.639,1297
2019-01-18,19:00:00,62.642,62.677,62.54,62.59,1451
2019-01-18,19:15:00,62.587,62.672,62.475,62.54,2683
2019-01-18,19:30:00,62.544,62.645,62.495,62.6,1010
2019-01-18,19:45:00,62.597,62.642,62.56,62.6,475
2019-01-18,20:00:00,62.595,62.62,62.55,62.57,302
2019-01-18,20:15:00,62.574,62.58,62.525,62.55,251
2019-01-18,20:30:00,62.553,62.59,62.53,62.585,205
2019-01-18,20:45:00,62.583,62.588,62.446,62.466,441
